 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.63150000000000E-0002  4.00000000000000E-0001  1.30320000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.69250000000000E-0002  4.00000000000000E-0001  1.30940000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.72300100000000E-0002  4.00000000000000E-0001  1.31720000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.78400000000000E-0002  4.00000000000000E-0001  1.32660000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.84500000000000E-0002  4.00000000000000E-0001  1.33750000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.90600100000000E-0002  4.00000000000000E-0001  1.34380000000000E+0004
 3.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.93650100000000E-0002  4.00000000000000E-0001  1.35160000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.99750000000000E-0002  4.00000000000000E-0001  1.35790000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.05850000000000E-0002  4.00000000000000E-0001  1.36720000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.11950000000000E-0002  4.00000000000000E-0001  1.37820000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.18050000000000E-0002  4.00000000000000E-0001  1.38440000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.24150000000000E-0002  4.00000000000000E-0001  1.39220000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.30250000000000E-0002  4.00000000000000E-0001  1.40160000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.36350000000000E-0002  4.00000000000000E-0001  1.41250000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.39400000000000E-0002  4.00000000000000E-0001  1.41880000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.45500100000000E-0002  4.00000000000000E-0001  1.42660000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.48550000000000E-0002  4.00000000000000E-0001  1.43290000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.57700100000000E-0002  4.00000000000000E-0001  1.44220000000000E+0004
 3.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.63800000000000E-0002  4.00000000000000E-0001  1.45320000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.66850100000000E-0002  4.00000000000000E-0001  1.45940000000000E+0004
 3.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.72950100000000E-0002  4.00000000000000E-0001  1.46720000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.79050000000000E-0002  4.00000000000000E-0001  1.47820000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.85150000000000E-0002  4.00000000000000E-0001  1.48750000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.88200000000000E-0002  4.00000000000000E-0001  1.49380000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.94300000000000E-0002  4.00000000000000E-0001  1.50000000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.00040000000000E-0001  4.00000000000000E-0001  1.50630000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.00040000000000E-0001  4.00000000000000E-0001  1.51250000000000E+0004
 3.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.00955000000000E-0001  4.00000000000000E-0001  1.52190000000000E+0004
 3.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.01565000000000E-0001  4.00000000000000E-0001  1.53440000000000E+0004
 3.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.02175000000000E-0001  4.00000000000000E-0001  1.54070000000000E+0004
